added2,added,yearID,G,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,Classification
0,0,1.0,1.0036630036630036,0.8515406162464986,1.1951447245564892,0.983063605570192,0.987499834303212,0.9493333333333334,1.0575275397796815,1.0626185958254268,0.5834932821497121,1.0086735773217683,0.9310009718172984,0.9916349809885932,,,,1.1727512231840422,1.2795937797524597,1.2794584302940553,0.9895337773549,0.3116883116883117,0.0,0.997091815538014,1.0328888888888892,0.7063339731285988,1.4185357596275916,1.0201603109059996,0.9851743021236812,,1.0061517429938482,Bad Team
1,1,1.0,1.0476190476190477,1.3146591970121382,0.7768440709617179,1.1411366202484003,1.0330995903975395,1.0462222222222222,1.1228070175438596,1.0626185958254268,0.7677543186180422,1.1948381637402157,0.8532555879494655,1.0159695817490495,,,,0.8791870530673692,0.8454458901935893,0.7886608842817855,1.0504281636536632,0.935064935064935,0.0,1.0685500623182385,0.9413333333333334,0.4606525911708254,0.964875158696572,1.1212047607481177,1.0727928409242686,,0.9952153110047848,Playoff Team
2,2,1.0,1.0036630036630036,1.0457516339869282,0.9561157796451916,1.0071509220925856,1.025252190511539,1.0515555555555556,1.0901672786617709,1.3510436432637571,1.7197696737044146,0.9545166067273112,1.0184645286686105,0.8912547528517111,,,,0.9318780579601054,0.901301174230403,0.8834355828220858,1.0199809705042815,0.7272727272727273,0.0,1.017864561695056,0.9813333333333332,1.1055662188099808,0.9107067287346592,0.9404906485304834,1.0556965406704957,,0.9952153110047848,Good Team
3,3,1.0,0.9963369963369964,1.1503267973856208,0.8664799253034547,1.1050056454648098,0.9790161587507789,1.0675555555555556,0.9596083231334148,1.4421252371916509,2.36468330134357,0.98159509202454,1.0942662779397474,0.8730038022813689,,,,0.9920963492660896,0.9901618533798794,1.0019039559974614,0.9362511893434824,1.3506493506493509,1.7777777777777777,0.9854590776900706,1.0124444444444445,1.9347408829174664,1.0427422767668215,1.1425795482147194,0.8911446507279284,,1.0061517429938482,Playoff Team
4,4,1.0,0.989010989010989,0.7469654528478058,1.2250233426704016,0.9800526910048928,0.9762589641962379,0.9564444444444444,0.8355773153814771,0.8956356736242884,0.3685220729366603,1.0662153585783796,1.086491739552964,1.0737642585551328,,,,1.2630786601430184,1.2288162488099017,1.2591495663211338,0.9971455756422456,0.6233766233766234,1.7777777777777777,0.9729954299958454,1.0977777777777775,1.1669865642994242,1.3169699534490056,0.9715812484819044,1.0257780152263924,,0.9952153110047848,Bad Team
5,5,1.0,1.0036630036630036,1.1951447245564892,0.8067226890756303,1.1215656755739556,1.018253158180782,1.032,0.8616891064871481,1.2447817836812145,0.9827255278310941,1.1677596784429871,1.0787172011661808,1.426615969581749,,,,0.9454271735039518,0.9520787051729609,0.9240533107679288,1.004757373929591,1.0389610389610389,3.555555555555556,1.0278354798504363,0.9804444444444445,0.5834932821497121,1.049513330512061,1.0473645858634928,0.9744891144650728,,1.0061517429938482,Playoff Team
6,6,1.0,0.9816849816849816,1.0158730158730158,0.9411764705882352,1.085434700790365,1.0284335688437016,1.1333333333333333,1.1554467564259483,1.0929791271347251,1.5662188099808059,1.0391368732811508,0.7696793002915452,0.5870722433460076,,,,0.9469326307866014,0.926689939701682,0.9274381214300824,0.9895337773549,1.0389610389610389,1.7777777777777777,0.9962609056917324,0.9911111111111112,1.3512476007677543,0.6195514176893779,1.0143308234151078,0.9894483771871244,,0.9952153110047848,Average Team
7,7,1.0,0.9963369963369964,0.7469654528478058,1.2698412698412698,0.9077907414377115,0.9805008019724546,0.9777777777777776,1.1750305997552022,0.5009487666034156,1.044145873320537,0.7988153162682462,0.9562682215743442,1.064638783269962,,,,1.1004892736168612,1.2745160266582038,1.2896128622805159,1.004757373929591,0.6233766233766234,0.0,0.9862899875363524,1.12,1.9654510556621883,1.0427422767668215,0.7539470488219577,0.9595298517430212,,1.0061517429938482,Bad Team
8,8,1.0,0.967032967032967,0.6423902894491129,1.3295985060690942,0.8716597666541211,0.9730775858640756,0.8888888888888888,0.9269685842513259,0.9259962049335864,0.5834932821497121,0.9748254707002328,1.1739552964042759,0.7817490494296578,,,,1.348889725254046,1.4014598540145986,1.452083774063888,0.9743101807802094,0.4155844155844156,0.0,0.961362692147902,1.1608888888888889,0.9827255278310941,1.3575962759204399,0.7403449113432111,1.0834780285828771,,0.9952153110047848,Bad Team
9,9,1.0,1.0183150183150182,0.7170868347338936,1.299719887955182,1.0372600677455777,1.0352205092856481,1.0462222222222222,1.1946144430844554,1.0170777988614799,0.4299424184261037,1.089909033213455,1.1739552964042759,0.9673003802281368,,,,1.3097478359051562,1.1298000634719136,1.1000634651999153,1.0123691722169363,0.6233766233766234,0.0,1.0228500207727462,1.1235555555555556,0.8598848368522073,0.951333051206094,1.1639543356813211,1.3014558568184853,,0.9842788790157212,Bad Team
